SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-2.000000;5;2216;0.295467;5002;5002;0;0;0;0;0;0;0
-1.000000;5;2216;0.295467;5002;5002;0;0;0;0;0;0;0
0.000000;5;2216;0.295467;5001;5002;0;0;0;0;0;0;0
0.200000;5;2216;0.295467;4987;5002;0;0;0;0;0;0;0
0.400000;5;2216;0.295467;4854;5002;0;0;0;0;0;0;0
0.600000;5;2216;0.295467;4269;5002;0;0;0;0;0;0;0
0.800000;5;2216;0.295467;2980;5002;0;0;0;0;0;0;0
1.000000;5;2216;0.295467;1545;5002;0;0;0;0;0;0;0
1.200000;5;2216;0.295467;1000;7846;0;0;0;0;0;0;0
1.400000;5;2216;0.295467;596;10000;0;0;0;0;0;0;0
1.600000;5;2216;0.295467;398;10000;0;0;0;0;0;0;0
1.800000;5;2216;0.295467;307;10000;0;0;0;0;0;0;0
2.000000;5;2216;0.295467;257;10000;0;0;0;0;0;0;0
2.200000;5;2216;0.295467;225;10000;0;0;0;0;0;0;0
2.400000;5;2216;0.295467;178;10000;0;0;0;0;0;0;0
2.600000;5;2216;0.295467;168;10000;0;0;0;0;0;0;0
2.800000;5;2216;0.295467;122;10000;0;0;0;0;0;0;0
3.000000;5;2216;0.295467;90;10000;0;0;0;0;0;0;0
